station_name,avg_temp,rainfall,wind_speed,air_pressure
Agartala,26.02338928,7.837584158,5.107042254,1008.778538
Agatti / Kavaratti,28.32684564,4.599597315,17.60416107,1009.81255
Agra,24.92532332,2.35744898,5.971506049,1008.417564
Agumbe,22.57754821,11.44834711,8.169559229,1010.917906
Ahmadabad,27.90376898,4.826963048,7.929868185,1008.417813
Ahmadnagar,24.6340497,2.645668234,12.21820013,1010.466622
Aijal,25.1142638,4.447852761,5.393404908,1010.292408
Ajmer,25.4747599,3.109398907,8.866890531,1009.053794
Akola,27.36021165,4.47840796,6.933109469,1008.605406
Alapuzha,26.80006725,7.707330195,9,1009.865837
Alibag,27.42344597,6.663331095,12.21013767,1009.04685
Aligarh,24.216454,2.32014775,9.345668234,1008.533714
Allahabad / Bamhrauli,25.77843137,3.184489796,5.514518148,1007.86116
Alwar,24.62525185,2.104096709,8.671524513,1008.879919
Ambala,23.94555315,3.873938573,8.181061115,1009.028677
Ambala / Amb?la,19.09644056,1.98952317,10.01920752,1008.837945
Ambikapur,23.86930427,5.344695898,6.870114171,1009.375823
Amini Divi,28.84380927,6.833975182,14.66498656,1009.631586
Amraoti,28.03920455,3.858256881,9.246474144,1008.717999
Amreli,27.7095092,2.378067485,11.55099693,1008.934816
Amritsar,23.08700244,3.232458698,5.658794282,1009.067366
Anantapur,28.39349064,3.230148515,11.44083277,1008.663801
Angul,26.37528543,3.584083277,7.288851578,1008.172465
Arogyavaram,24.40221774,2.759475806,12.43561828,1010.857796
Atiramapattinam,27.85830531,4.068258238,11.57626093,1009.089711
Aurangabad,26.72074858,2.71795035,7.616778523,1009.943788
Aurangabad Chikalthan Aerodrome,26.72074858,2.71795035,7.616778523,1009.943788
Bagalkote / Mangoli,26.10167898,2.289724647,14.88347884,1010.064473
Bagati,25.67078221,4.704064417,8.791794479,1008.197699
Bahraich,24.8444378,5.799482134,7.794291471,1008.297448
Balasore,26.79008399,6.523767849,8.398052384,1007.901007
Balurghat,24.71625767,4.990337423,7.927070552,1008.296933
Banda,25.42760242,3.005977166,8.888650101,1008.294627
Bangalore,24.08714131,4.806556748,11.16235553,1011.835213
Bangalore / Bengaluru / Devenahalli / BIAL 2 Wheeler Parking,24.15186789,3.918328221,12.66312603,1013.990205
Bangalore / Hindustan Airport,24.28316188,4.247967791,11.47952669,1013.193789
Banihal,13.82762097,3.047580645,4.793077957,1015.701008
Bankura,25.62607362,4.119248466,6.490490798,1007.970936
Bapatla,27.8256135,3.705751534,11.53466258,1008.339801
Baramati,25.93989255,2.159771659,11.89724647,1009.904701
Barapani / Bara Pani,19.67501679,6.711215581,6.75325722,1010.863936
Bareilly,24.42873033,5.583047619,6.831363331,1008.316051
Baripada,26.24372062,4.068166555,8.779785091,1008.197246
Barmer,27.90355543,1.776190476,10.59576897,1008.85178
Baroda / Vadodara,27.39389671,2.903425118,9.936887995,1008.517907
Baroda Aerodrome,27.39389671,2.903425118,9.936887995,1008.517907
Belgaum,23.89259962,4.664397671,12.39073203,1011.045332
Belgaum / Sambra,24.33429114,4.428616211,12.24170584,1010.293351
Bellary,26.5,1.987306917,13.57669577,1010.642512
Berhampore,25.5062458,3.974748153,8.745332438,1008.180054
Betul,23.71020819,3.205104097,9.91128274,1009.748959
Bhagalpur,25.66038851,4.681625782,6.689657488,1008.461048
Bhatinda,23.50356745,0.760535117,8.855629877,1009.561873
Bhaunagar,29.16652308,3.620477816,15.14224312,1008.601343
Bhawanipatna,26.05560779,3.553055742,8.273337811,1008.772868
